DATE,TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
23/01/2017,14:29:00,9.528,9.531,9.528,9.531,841
23/01/2017,14:33:00,9.518,9.524,9.518,9.524,946
23/01/2017,14:34:00,9.511,9.511,9.506,9.51,4061
23/01/2017,14:35:00,9.508,9.508,9.508,9.508,315
23/01/2017,14:38:00,9.5,9.504,9.5,9.504,4599
23/01/2017,14:39:00,9.502,9.506,9.502,9.506,512
23/01/2017,14:41:00,9.501,9.502,9.501,9.502,1669
23/01/2017,14:42:00,9.499,9.5,9.499,9.5,2414
23/01/2017,14:44:00,9.498,9.499,9.498,9.499,1151
23/01/2017,14:46:00,9.49,9.495,9.49,9.495,1318
23/01/2017,14:48:00,9.489,9.49,9.489,9.49,396
23/01/2017,14:49:00,9.49,9.49,9.49,9.49,543
23/01/2017,14:50:00,9.486,9.489,9.486,9.489,955
23/01/2017,14:54:00,9.481,9.485,9.481,9.485,635
23/01/2017,14:55:00,9.481,9.481,9.477,9.481,1089
23/01/2017,14:57:00,9.479,9.479,9.479,9.479,40
23/01/2017,14:58:00,9.476,9.479,9.476,9.479,2234
23/01/2017,15:00:00,9.488,9.488,9.476,9.476,5278
23/01/2017,15:01:00,9.503,9.503,9.49,9.49,13408
23/01/2017,15:03:00,9.503,9.508,9.503,9.503,6262
23/01/2017,15:04:00,9.503,9.503,9.503,9.503,1200
23/01/2017,15:05:00,9.506,9.506,9.504,9.504,2300
23/01/2017,15:06:00,9.505,9.505,9.505,9.505,375
23/01/2017,15:07:00,9.505,9.505,9.505,9.505,3523
23/01/2017,15:08:00,9.506,9.506,9.506,9.506,357
23/01/2017,15:09:00,9.506,9.507,9.506,9.506,1901
23/01/2017,15:10:00,9.506,9.506,9.504,9.504,1467
23/01/2017,15:11:00,9.504,9.507,9.504,9.506,2290
23/01/2017,15:12:00,9.507,9.507,9.507,9.507,525
23/01/2017,15:13:00,9.504,9.504,9.504,9.504,18
23/01/2017,15:14:00,9.507,9.508,9.507,9.508,2115
23/01/2017,15:16:00,9.538,9.54,9.508,9.508,18886
23/01/2017,15:17:00,9.531,9.531,9.531,9.531,2482
23/01/2017,15:18:00,9.525,9.528,9.525,9.528,4749
23/01/2017,15:19:00,9.524,9.525,9.524,9.525,2121
23/01/2017,15:20:00,9.524,9.524,9.524,9.524,457
23/01/2017,15:21:00,9.527,9.528,9.524,9.524,9240
23/01/2017,15:22:00,9.536,9.536,9.534,9.534,2004
23/01/2017,15:23:00,9.526,9.53,9.523,9.526,8412
23/01/2017,15:24:00,9.523,9.523,9.523,9.523,395
23/01/2017,15:25:00,9.522,9.523,9.522,9.522,1546
23/01/2017,15:26:00,9.522,9.522,9.522,9.522,949
23/01/2017,15:27:00,9.521,9.521,9.521,9.521,300
23/01/2017,15:28:00,9.518,9.518,9.518,9.518,1200
23/01/2017,15:30:00,9.532,9.532,9.521,9.521,4386
23/01/2017,15:33:00,9.543,9.543,9.535,9.535,3867
23/01/2017,15:34:00,9.547,9.547,9.542,9.542,1730
23/01/2017,15:35:00,9.549,9.55,9.549,9.55,650
23/01/2017,15:36:00,9.548,9.548,9.548,9.548,190
23/01/2017,15:37:00,9.548,9.548,9.548,9.548,99
23/01/2017,15:39:00,9.549,9.549,9.543,9.543,833
23/01/2017,15:40:00,9.557,9.557,9.554,9.554,975
