Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
Plymouth,1,15-2764,07/04/2015,04:02,Male,Black,FALSE,"5'9""",130,34,C,,,,5 seconds - 1 contacted,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,,TRUE,,TRUE,,TRUE,TRUE,,TRUE,drug overdose (PCP),,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,
New Milford,1,15-16338-AR,07/04/2015,20:15,Female,Black,FALSE,"5'6""",135,32,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,,,,,adult probation visit,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,,
New Britain,1,15-8127,07/04/2015,17:50,Male,Black,FALSE,"5'11""",200,32,D,,,,,U,FALSE,TRUE,,,,TRUE,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,
New Britain,1,15-8234,08/04/2015,19:25,Female,White,TRUE,"5'2""",170-180,25,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,
CSP (State Police),1,1500194623,08/04/2015,10:29,Male,White,TRUE,"5'4""",170,48,C,,,,5 sec,1,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,TRUE,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,knife,,TRUE,,TRUE,TRUE,,,,TRUE,,,TRUE,TRUE,
Middletown,1,15-08697,10/04/2015,02:44,Male,White,TRUE,"6'2""",235,35,C,D,,"3-4, 1-2 sec each",,4,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Officer in Uniform,,,,,TRUE,,,,,,,,TRUE,,,TRUE,vehicle,,,,,,TRUE,,,,,vehicle,,,
West Hartford,1,15-17255,10/04/2015,01:22,Male,White,TRUE,"6'0""",180,24,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,,,
Torrington,1,15-13070,11/04/2015,19:26,Male,White,FALSE,"5'10""",155,32,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,
West Hartford,1,15-17662,11/04/2015,22:06,Male,Black,FALSE,"5'10""",165,32,C,,5 seconds,,,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Ridgefield,1,15-5916,12/04/2015,10:30,Male,White,FALSE,"5'11""",250,28,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,,,TRUE,,,TRUE,,TRUE,,,,,,TRUE,,,,
Southington,3,2015-3670,12/04/2015,02:00,Male,White,FALSE,"5'10""",300,37,C,D,,4 sec. ,"13 sec, 7 sec. ",3,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,TRUE,Subject's Residence,Marked Cruiser,,TRUE,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Middletown,1,15-08982,14/04/2015,01:10,Male,White,FALSE,"5'8""",200,52,D,,1-2 seconds,0-1 seconds,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Not Initial Officer on Scene,,,TRUE,,,,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,"tensed up, back against wall"
New London,1,15-001087,14/04/2015,19:55,Male,White,TRUE,"6'0""",215,43,D,,,2 - 3sec/2 sec,,2,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,
New London,1,15-001082,14/04/2015,08:16,Male,Black,FALSE,"5'11""",230,30,D,,,1/5 seconds,,1,TRUE,FALSE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,TRUE,,
Newington,1,I20151197,14/04/2015,20:13,Male,White,TRUE,"5'7""",Unknown,20,D,,,1-5 second application,,1,TRUE,TRUE,,,TRUE,,,,,,TRUE,,TRUE,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,
Hartford ,1,2015-01123,15/04/2015,21:49,Male,Black,FALSE,"5'7""",140,63,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,TRUE,,agitated
Hamden,1,15-15163,15/04/2015,21:30,Male,Black,FALSE,"6'2""",260,38,C,,,,3 cycles,3,,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,
Willimantic,1,15-6437,16/04/2015,16:23,Male,White,FALSE,"5'8""",155,25,C,,,,,U,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,,,,,,,running away from officer,,,,,,,,,,,TRUE,,
Newington,1,I20151224,17/04/2015,15:49,Male,White,FALSE,"6'0""",250,44,C,,,,both impacted - 1 fell out,1,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Unmarked Vehicle,,TRUE,,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Hartford ,1,2015-011487,17/04/2015,19:21,Male,Black,FALSE,"5'10""",155,32,C,,,,"1, 4 sec.",1,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,Marked Cruiser,,TRUE,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Bristol,2,1500017045,17/04/2015,22:21,Male,White,TRUE,"5'7""",260,48,C,C,,,"2, 5 sec each.",2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Manchester,1,m2015-03985,18/04/2015,23:38,Male,White,FALSE,"5'8""",140,32,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,
New London,1,15-001124,18/04/2015,03:28,Male,White,TRUE,"6'3""",175,26,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,
East Hartford,1,15-9888,18/04/2015,01:20,Male,White,TRUE,"5'8""",160,22,C,,,,10 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,
CSP (State Police),1,1500220303,19/04/2015,20:08,Male,White,FALSE,"6'1""",185,36,C,,,,2 - 5 sec each,2,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,assault,,,TRUE,,,,,subject admitted to drug/alcohol use,TRUE,,TRUE,,,,,,,,,,
Manchester,1,M201504002,19/04/2015,14:15,Male,White,FALSE,"5'11""",170,28,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,"theft of service from taxi, subject resistive to exiting cab when ordered",,,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,,subject tensed up in car/refused officer lawful commands
Fairfield,1,15-13008,19/04/2015,18:05,Male,White,FALSE,Unknown,Unknown,26,C,,2,,5 seconds,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,broken glass,,TRUE,,,TRUE,,,,TRUE,,,TRUE,TRUE,
Groton City,1,15-2848,19/04/2015,01:10,Male,Black,FALSE,"5'10""",205,24,C,,,,1 five-second cycle,1,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,Outdoors-Private Property,Officer in Uniform,,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,
Vernon,1,15-5576,20/04/2015,22:23,Male,White,FALSE,"5'11""",220,33,C,,,,1 second,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,
New London,1,15-001172,22/04/2015,19:07,Male,White,TRUE,"5'8""",200,56,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,,
Norwich,1,15-915-AR,22/04/2015,00:30,Male,Black,FALSE,"6'2""",250,31,D,,,"1, 5 sec",,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,,resisting arrest
Vernon,1,15-5722,22/04/2015,18:55,Male,White,FALSE,"6'1""",210,20,L,,1,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,TRUE,,,TRUE,,,,,TRUE,,
East Hartford,1,15-10347,23/04/2015,11:13,Male,Black,FALSE,"5'9""",189,22,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,
CSP (State Police),1,1500231763,24/04/2015,15:40,Male,Black,FALSE,"5'11""",175,28,C,,,,5 seconds,1,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Unmarked Vehicle,,,,,,,,TRUE,,,,,,,,,,fleeing,TRUE,,,,TRUE,,,,,,,,
Norwich,1,15-832-OF,24/04/2015,04:55,Male,Black,FALSE,"5'10""",205,23,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,TRUE,,,,,,,,,on drugs,,,TRUE,,,,,,,,TRUE,,
Putnam,1,15-3816-AR,25/04/2015,11:18,Male,White,FALSE,Unknown,Unknown,33,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,,
North Branford,1,15-2915,25/04/2015,02:20,Male,White,FALSE,"5'11""",190,24,C,,,,"2, 4 sec. and 1 sec. ",2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,passed out in vehicle,TRUE,,,,,,,,,,TRUE,,closed distance between himself and officer
East Hartford,1,15-10655,26/04/2015,14:25,Male,Black,FALSE,"5'9""",150,29,C,D,5 seconds,8 seconds,,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,TRUE,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,
Meriden,1,15-3233,26/04/2015,15:00,Male,White,TRUE,"5'9""",160,21,C,,,,12 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,suspect fled after evading accident,,,,,,,,running from officer,,,,,TRUE,,,,,,TRUE,,
Vernon,1,15-5961,27/04/2015,14:55,Male,White,FALSE,"5'9""",350,43,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Unmarked Vehicle,,,,TRUE,,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,TRUE,
Derby,1,15-4367,27/04/2015,00:30,Male,White,FALSE,"5'5""",170,31,C,,,,2,2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,,
Norwalk,1,15-17854,27/04/2015,00:57,Male,White,TRUE,"5'6""",190,25,C,,,,5 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,,,,,,,
Torrington,1,15-15481,28/04/2015,18:08,Male,White,FALSE,"5'6""",180,30,D,,,"2 cycles, 10 seconds",,2,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,
New Haven,1,15-19140,30/04/2015,11:19,Male,Black,FALSE,"5'10""",175,31,D,,,,,U,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,
Danbury,1,1500028017,30/04/2015,18:23,Male,White,TRUE,"6'3""",160,20,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,Indoors-Public Building,Marked Cruiser,,TRUE,,,,,,,,,,,,,,,,fled on foot,,,,,TRUE,,,,,,,,
Berlin,1,2015-08945,01/05/2015,18:28,Male,Black,FALSE,"5'7""",160,29,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,
West Haven,1,15000015630,01/05/2015,01:55,Male,Black,FALSE,"6'2""",190,23,D,,,2,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,
Farmington,1,1400006377,01/05/2015,14:20,Male,White,TRUE,"6'1""",200,45,C,,,,1 five-second cycle,1,TRUE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Unmarked Vehicle,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Norwich,1,15-1022-AR,02/05/2015,17:36,Male,Black,FALSE,"5'5""",180,50,D,,,2 - 5 sec/2 sec,,2,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
CSP (State Police),1,1500250227,02/05/2015,00:52,Male,White,FALSE,"5'9""",165,21,C,,,,8 sec,1,TRUE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,large stick,,TRUE,,TRUE,TRUE,,,,,TRUE,,TRUE,,
Waterbury,2,15-23557a,02/05/2015,18:48,Male,Black,TRUE,"5'8""",150,38,C,,,,2/2/3/4/5/5/5/5 sec,8,TRUE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Officer in Uniform,,TRUE,,,,,,,,,,,,,,,,suspect fleeing police,,,,,TRUE,,,,,,TRUE,,resisting arrest
Torrington,1,15-16192,04/05/2015,13:45,Male,White,FALSE,"6'2""",225,24,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,officer knew about prior violence with police
Wallingford,1,2015-9406,05/05/2015,17:09,Male,White,TRUE,"5'7""",165,31,C,D,,1 5-second cycle,1 5-second cycle,2,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,TRUE,TRUE,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,knife,,TRUE,,TRUE,,,,,,,,,,
Plainfield,1,15PPD-4170-OF,07/05/2015,23:01,Male,White,FALSE,"6'0""",225,45,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,,"reported as man w/ gun, lethal cover used with taser laser",,,,TRUE,,,,,,,TRUE,TRUE,
East Hartford,1,15-11728,07/05/2015,12:44,Male,Black,FALSE,"5'11""",410,39,C,D,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,
Cheshire,1,2015-9195,07/05/2015,19:45,Male,White,TRUE,"5'8""",210,33,C,,,,2 total activations - 5 sec each,2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Other Residence,Officer in Uniform,,,TRUE,,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,TRUE,,,,,,,,,TRUE,,
East Haven,1,15-12469,08/05/2015,00:14,Male,White,TRUE,"5'9""",175,47,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,
Ansonia,1,15-6764,08/05/2015,07:22,Male,Black,FALSE,"5'6""",150,22,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,TRUE,,
Meriden,1,15-3115,08/05/2015,23:45,Male,Black,FALSE,"6'0""",150,18,D,,,5 seconds,,1,FALSE,FALSE,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,Indoors-Private Property,Marked Cruiser,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
Waterbury,1,15-25069,09/05/2015,22:30,Male,Black,FALSE,"5'10""",160,24,C,,,,"1, 5 seconds",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,,,,,,self-initiated investigation,,,,,,,,,,,TRUE,,TRUE,,,,,,TRUE,,resisting arrest
Norwich,1,15-1080-AR,10/05/2015,08:06,Male,White,FALSE,"5'0""",200,48,D,,,5 sec,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,
Manchester,1,M201504816,10/05/2015,01:14,Male,White,FALSE,"5'11""",160,35,W,,1,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Other,Called to booking area,,,,,,,,,subject refusing to comply and aggressive in booking area,,,,,TRUE,,,,,,,,,,,,,,TRUE,,
New Haven,1,15-21219,10/05/2015,10:30,Female,Black,FALSE,"5'9""",140,33,D,,,5 sec,,1,TRUE,FALSE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,Outdoors-Public Area,Not Initial Officer on Scene,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,TRUE,,,,,,,,,,TRUE,,
New Britain,1,15-11004,12/05/2015,15:37,Male,White,TRUE,"5'10""",165,22,C,,,,"1, 2 sec.",1,,TRUE,,TRUE,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
New Britain,1,15-11161,14/05/2015,07:50,Male,White,TRUE,"5'10""",160,22,C,,,,"1, 5 sec.",1,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,,executing arrest,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,,
Hamden,1,1500015163,15/05/2015,15:17,Male,Black,FALSE,"5'5""",260,39,C,,,,5 seconds each,U,TRUE,TRUE,,,TRUE,,TRUE,,,,TRUE,,,,,,,,TRUE,Outdoors-Private Property,Marked Cruiser,,,,,,TRUE,,,,,,,,,,,knife,,,,,,,,,TRUE,,,,,
New London,1,15-001473,15/05/2015,20:10,Male,White,FALSE,"5'9""",155,26,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,TRUE,,TRUE,TRUE,,,,,,Outdoors-Public Area,Officer in Uniform,,TRUE,TRUE,,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,
Waterbury,1,15-26920,18/05/2015,19:15,Male,White,TRUE,"5'6""",140,27,C,,,,2 - 3 sec/5 sec,2,FALSE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,,,,,,self-initiated investigation,,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,resisting arrest
East Hartford,1,15-12825,19/05/2015,11:48,Male,Black,FALSE,"6'0""",170,51,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,
Waterbury,1,15-27085,19/05/2015,13:15,Male,Black,FALSE,"6'1""",210,39,C,,,,2 - both deployments missed,2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Officer in Uniform,,TRUE,,,,,,,,,,,,,,TRUE,,car-jacking suspect fleeing police,,,,,TRUE,,,,,,TRUE,,carjacking involving handgun
West Hartford,1,1500025142,19/05/2015,02:44,Male,Black,FALSE,"5'7""",150,25,C,,,,5 seconds,1,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,TRUE,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,
Plainville,1,2015-8895,19/05/2015,11:25,Female,Black,FALSE,"5'7""",250,22,C,,,,5 seconds,1,TRUE,Unknown,,,,,,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Marked Cruiser,,,,,,TRUE,,,,,,,,,TRUE,TRUE,chair,,,,TRUE,,,,,,,,,,
Branford,1,15-11857,20/05/2015,22:07,Male,White,FALSE,"5'8""",170,51,L,,,,,0,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,
Norwich,1,15-1455-OF,20/05/2015,15:00,Female,White,FALSE,"5'2""",125,40,C,D,"2, 8 sec",appx. 3 sec,5 seconds,2,TRUE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,large butcher knife,,,,,TRUE,,,,TRUE,,,TRUE,TRUE,
Waterbury,1,15-27303,20/05/2015,13:15,Male,Black,FALSE,"6'3""",225,21,C,,,,"1, 5 seconds",1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Officer in Uniform,,TRUE,,,,,,,,,,,,,,TRUE,,suspect fleeing police,,,,,TRUE,,,,,,TRUE,,resisting arrest
Danbury,1,1500033520,21/05/2015,18:38,Male,White,FALSE,"6'3""",270,40,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,,,,TRUE,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,
Stamford,1,150521-0197,21/05/2015,15:30,Male,Black,FALSE,6',200,26,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,TRUE,,,,,,TRUE,,TRUE,TRUE,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,TRUE,narcotics,,,,,TRUE,,,,,,TRUE,,TRUE,,,,,,TRUE,,
