Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
Norwalk,1,15-04010,25/01/2015,01:29,Male,White,FALSE,"5'8""",160,26,C,,,,5 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Manchester,1,M201500936,26/01/2015,20:34,Male,White,FALSE,"5'7""",200,47,D,,,,,U,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,
Wallingford,1,2015-1829,28/01/2015,21:32,Male,White,FALSE,"6'4""",230,52,C,,,,5 second cycle,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,body muscle resistance with knife in hand
Branford,1,15-2484,30/01/2015,10:11,Male,White,FALSE,"5'11""",180,53,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,,,,,Welfare check,TRUE,,,,,,,,,,,,,,,,,,TRUE,,
CSP (State Police),1,1500057386,30/01/2015,15:41,Male,Black,FALSE,"5'7""",175,31,C,,,,5 sec,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,
Norwalk,1,15-04263,30/01/2015,18:25,Male,Black,FALSE,"5'09""",145,22,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,baseball bat,,TRUE,,,,,,,,TRUE,,,,
Bridgeport,1,150131-019,31/01/2015,01:30,Male,Black,FALSE,"5'6""",150,23,D,,,7- 4sec. 2sec. 2sec. 1sec. 1 sec. 5 sec.,,7,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,
CSP (State Police),1,1500061731,01/02/2015,23:43,Male,White,FALSE,"6'1""",200,27,C,,,,"6 sec, 5 sec, 5 sec",3,TRUE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Farmington,1,15-1855,01/02/2015,01:54,Male,Black,FALSE,"5'11""",165,22,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,TRUE,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,Actively fighting another individual
Norwalk,1,15-04577,01/02/2015,20:10,Male,Black,FALSE,"5'7""",226,12,C,,,,8 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,,
