unit_id,PANEL,Tech2,Tech,Speed,Package,MarketClass,Urban_Rural,Region,Country,trim24_mean_download,trimpk_mean_download,max_download_average,min_download_average,t00000600MonSun,t06001200MonSun,t12001800MonSun,t18001900MonSun,t19002000MonSun,t20002100MonSun,t21002200MonSun,t22002300MonSun,t23002400MonSun,t00000600MonFri,trim4_mean_upload,trimpk_mean_upload,max_upload_average,Min_upload_average,disconnects_30_seconds_plus,dns_24hrs,dns_24_fail_rate,jitter_24hrs_up,jitter_24hrs_down,latencyloss24,latencyfail_rate24,webget24,dns_pk,dns_pk_fail_rate,jitter_pk_up,jitter_pk_down,latencypk,latencyfailratepk,webgetPK,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak,Min_max,Peak_max,weight_National,Weight_ISP
945232,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,South East,England,26.323,26.31,27.3591,22.5379,26.8914,26.3292,25.9206,23.5499,26.275,26.214,26.4111,26.6957,26.7327,26.8806,5.5461,5.5431,5.6393,5.1373,0.1739,11.7776,0.0002,0.3606,0.3674,10.3211,0.0021,277.5605,11.7762,0,0.3639,0.3151,10.4164,0.0018,255.4749,0.1211,0.8789,0,0,765.7803632,0.1176,0.8824,0,0,853.035,1,0,0,0,1266.54804,1,0,0,0,1417.907389,0.82,0.96,#NULL!,1.28
147688,SKC,FTTC,FTTC38,30+,Sky 38,3,Rural,West Midlands,England,26.4614,27.09,27.5234,22.584,26.6795,26.6207,26.1686,25.6326,26.5493,27.7049,26.4774,27.2845,25.4227,26.4225,6.18,6.0952,6.2835,6.0323,0.5882,7.2783,0,0.3068,0.3625,10.2278,0.001,520.9716,7.57,0,0.3301,0.5404,10.3531,0.0013,534.3864,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.82,0.98,0.16,0.77
196338,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,East Midlands,England,27.2987,27.27,27.8807,26.4322,27.2999,27.2314,27.3237,27.2204,27.2906,27.227,27.3189,27.4238,27.3921,27.3769,5.8716,5.928,5.9495,5.7383,0.3824,26.9497,0.0002,0.2885,0.322,28.0036,0.0006,294.5307,27.2196,0.0011,0.2978,0.3716,28.1125,0.0001,289.9124,0.0793,0.8187,0.102,0,729.203204,0.1026,0.7692,0.1282,0,784.0948205,1,0,0,0,1361.88529,1,0,0,0,1359.905486,0.95,0.98,#NULL!,#NULL!
144486,SKC,FTTC,FTTC38,30+,Sky 38,3,Rural,Wales,Wales,27.2626,27.4,28.0028,24.4843,27.086,27.3344,27.441,27.2588,27.1729,27.5868,27.2107,27.234,27.0147,26.962,6.0275,6.0459,6.1442,5.59,4.4118,13.1233,0.0005,0.3033,0.5801,13.3339,0.0021,485.3042,13.1281,0,0.3075,0.5855,13.177,0.001,460.6339,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.87,0.98,0.24,1.28
175560,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,East Midlands,England,27.6085,26.61,28.028,24.1702,27.9254,27.901,27.8872,27.8835,27.8436,27.2201,25.9904,27.1091,27.7835,27.8849,4.6478,4.6359,4.7011,4.5238,0.0294,30.8862,0.0003,0.3335,0.3881,33.4969,0.0001,317.2318,30.7848,0,0.3327,0.4319,33.6106,0.0001,326.6104,0.0726,0.8184,0.1089,0,1029.513058,0.075,0.775,0.15,0,1027.043455,0.9829,0.0171,0,0,1462.25347,0.8649,0.1351,0,0,1493.669619,0.86,0.95,#NULL!,1.28
814327,OFCOM,FTTC,FTTC38,30+,Sky 38,2,Urban,South East,England,27.7601,27.85,28.3507,26.248,27.7894,27.3818,28.0442,27.0298,28.1437,27.9937,27.7087,27.8518,27.8353,28.1298,8.916,8.8568,8.998,8.6445,0.2414,31.043,0.0003,0.3053,0.3658,23.886,0.0005,272.9324,30.6507,0,0.3109,0.3933,23.5965,0.0001,260.3093,0.0856,0.887,0.0274,0,1090.033015,0.0606,0.8788,0.0606,0,978.4286,1,0,0,0,1467.69912,1,0,0,0,1680.271903,0.93,0.98,#NULL!,0.77
947780,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,East,England,27.4228,27.51,28.8239,24.1264,27.8335,27.3724,28.1966,25.7257,27.3448,27.0534,27.9741,26.9205,27.1824,25.1656,7.0852,6.4444,7.2361,5.9831,1.6875,15.6724,0,0.3292,0.2964,12.4255,0.0046,345.6062,16.8325,0,0.3711,0.3468,13.0464,0.0172,381.4264,0.1582,0.8418,0,0,972.8821864,0.1667,0.8333,0,0,1028.161917,0.7399,0.2601,0,0,1320.00078,0.6522,0.3478,0,0,1501.980696,0.84,0.95,#NULL!,#NULL!
250812,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,South East,England,28.6971,28.73,28.8366,27.3856,28.749,28.6762,28.647,28.6649,28.7254,28.7399,28.7212,28.7176,28.6518,28.7466,1.1385,1.1365,1.1721,1.0801,0.0588,14.3997,0.0002,0.4037,0.3101,10.5257,0.0006,210.5347,14.3747,0,0.3987,0.3322,10.5639,0.0048,188.7471,0.0763,0.8174,0.1063,0,910.8879294,0.0952,0.7619,0.1429,0,964.3075417,1,0,0,0,1354.92688,1,0,0,0,1340.636538,0.95,1,#NULL!,#NULL!
202306,SKC,FTTC,FTTC38,30+,Sky 38,1,Rural,South East,England,28.9901,28.97,29.0752,28.3665,28.9897,28.9869,28.9694,28.9788,29.0578,28.9412,29.003,29.0248,28.9883,28.9699,4.6187,4.6233,4.6646,4.4952,0.0588,10.8431,0,0.3667,0.3684,10.0978,0.0002,461.8602,10.8285,0,0.3744,0.4321,10.1583,0.0002,464.8672,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.98,1,0.06,1.28
121114,SKC,FTTC,FTTC38,30+,Sky 38,3,Urban,Scotland,Scotland,29.0996,28.92,29.3561,27.442,29.3431,29.0622,28.7259,29.1733,29.1682,28.8135,29.0287,29.3392,29.3449,29.3454,8.1035,8.0964,8.1639,7.9716,0.0588,12.2419,0,0.3741,0.3195,15.3676,0.0003,491.8569,12.3012,0,0.3714,0.4118,15.4251,0.0001,505.4342,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.93,0.99,#NULL!,#NULL!
